E_eV,f1,f2
192,9.54296,2.32884
193,9.50024,2.33938
195,9.39084,2.33286
197,9.27785,2.35548
200,9.082,2.3696
201,9.04361,2.39941
203,8.90831,2.38219
204,8.84821,2.40118
205,8.77592,2.39285
206,8.72659,2.40659
209.332,8.45788,2.42222
212,8.24425,2.43463
215,7.98959,2.46663
216,7.89337,2.45939
218,7.69638,2.48544
220,7.49359,2.48963
222,7.27084,2.51004
223,7.14371,2.50513
225,6.86336,2.51774
226,6.70448,2.53945
227,6.4818,2.53091
228,6.35222,2.75666
229,6.27253,2.73945
230,6.10332,2.74607
231,5.95109,2.87667
232,5.8593,2.92282
233,5.7169,2.94456
234,5.57309,3.00377
235,5.42136,3.04436
236,5.2593,3.06937
237,5.04452,3.10966
240,4.37525,3.45913
241,4.20557,3.6668
242,4.06726,3.79756
243,3.90798,3.96827
244,3.79931,4.16674
245,3.76288,4.33353
246,3.53058,4.34746
249.979,2.85098,4.68637
251,2.58414,4.77662
253,2.06339,5.17262
255,1.53475,5.67817
258,0.849635,6.69429
260,0.521002,7.52395
262,0.327261,8.37932
263,0.26851,8.88382
266,0.505738,10.2424
267,0.655385,10.6584
269,0.949757,11.2767
273.351,1.7666,12.4461
274,1.89238,12.6289
276,2.34601,13.0767
278,2.78244,13.3229
281,3.24424,13.5314
283,3.4417,13.7116
287.577,3.80396,14.2016
292.229,4.13615,14.7091
295,4.26561,15.016
299,4.47204,15.6246
300,4.57044,15.6755
301,4.62717,15.9323
303,4.654,16.1742
304,4.84355,16.5721
305,5.02916,16.5
307,5.11596,16.9365
309,5.33858,17.2674
310,5.56797,17.4915
314,6.24439,17.9964
319,7.1504,18.4059
323,7.9101,18.619
324,8.00512,18.551
327,8.35758,18.5476
331,8.66712,18.5783
335,8.88587,18.7654
336,8.99214,18.8612
338,9.18687,18.9689
343,9.71865,19.1728
344,9.84114,19.1283
349.564,10.0345,19.3149
350,10.1391,19.3295
354,10.4157,19.573
359.726,10.9288,19.6365
363,11.118,19.6725
367,11.2489,19.85
370,11.4698,19.9127
370.75,11.3516,19.6817
371.01,11.4256,19.808
371.5,11.3382,19.8121
371.75,11.4461,19.8704
372.25,11.3854,19.7893
372.75,11.3917,19.7811
373.5,11.2591,19.895
375.25,11.3698,19.954
376,11.2288,20.0178
376.25,11.3151,19.9865
376.5,11.1075,20.0771
378.51,11.3493,20.2438
378.75,11.1473,20.3335
379.5,11.2675,20.2803
379.74,11.0661,20.4178
380.25,11.1908,20.4314
380.49,11.0413,20.5787
380.99,10.9673,20.5545
383,11.2083,20.8306
383.5,11.175,20.7468
383.76,10.9695,20.9026
386,11.2678,21.0774
386.5,11.0259,21.1276
386.74,11.0511,21.2518
387.75,10.8746,21.3268
388.25,10.7937,21.4446
388.75,10.658,21.4598
389.5,10.3974,21.7481
390,10.2224,21.8427
391.25,9.4967,22.6379
391.75,9.1917,23.1876
392.25,8.93474,23.9613
392.75,8.75505,24.9822
393,8.86048,25.7464
393.25,9.07352,26.4119
393.49,9.53752,27.2561
393.75,10.2797,27.881
393.99,11.099,28.2816
394.26,12.0065,28.4996
394.5,12.8543,28.5772
394.75,13.7004,28.4991
395.25,15.2607,27.7574
395.5,15.7808,27.2312
395.76,16.0475,26.5823
396.75,16.4384,24.8287
397,16.5086,24.562
397.25,16.4678,24.1553
397.75,16.3678,23.6733
399,15.7643,22.9672
400.26,15.2997,22.6893
401.49,14.8646,22.7178
401.76,14.8742,22.8054
402.25,14.7633,22.8388
402.74,14.7104,22.9924
403.25,14.6573,23.1447
403.5,14.7245,23.2805
403.75,14.7302,23.3142
404,14.8888,23.4613
404.75,15.2009,23.5612
405,15.28,23.4695
405.5,15.3592,23.4172
406.25,15.4784,23.3021
406.5,15.4339,23.3331
407.5,15.5118,23.1313
408.5,15.2802,23.0968
409.26,15.1054,23.3282
409.51,15.0328,23.3322
410.26,14.9135,24.0232
411.26,15.6923,25.2454
411.77,16.5296,25.365
412.49,17.4799,24.9184
412.99,17.9989,24.4975
413.25,18.1358,24.1436
414.5,18.1087,23.1175
414.75,18.0748,23.053
415,17.8969,22.8142
416.75,17.5739,22.2709
417.74,17.4,22.2505
418,17.4,22.1681
419.75,16.9477,22.2657
420,16.9069,22.3594
420.5,16.9217,22.3668
420.75,16.9639,22.6746
421,16.9407,22.4645
421.5,17.0536,22.6295
422.75,17.4223,22.6417
423,17.4238,22.467
423.25,17.4004,22.571
423.5,17.4277,22.4887
424,17.4798,22.5762
424.5,17.4433,22.4228
424.75,17.5516,22.5387
425.01,17.5889,22.4013
425.75,17.603,22.284
427,17.573,22.327
427.25,17.4421,22.2554
429.25,17.3136,22.3439
429.5,17.4238,22.4117
430.26,17.4152,22.4161
431.5,17.4743,22.4748
431.75,17.4426,22.4494
432,17.4802,22.5176
432.25,17.3989,22.4695
432.5,17.5354,22.6994
432.75,17.5645,22.5192
433,17.7261,22.4917
434.25,17.5267,22.6457
435,17.602,22.6283
435.25,17.4814,22.7386
436,17.5626,22.7439
437.5,17.7647,22.9279
437.75,17.6928,22.8802
439.25,17.7848,23.1869
445,18.9619,23.6101
448,19.5261,23.5752
449,19.7144,23.5173
450,20.0331,23.6487
451,20.1448,23.1902
453,20.4573,23.0596
454,20.5896,22.8879
455,20.5087,22.5607
456,20.5586,22.7236
458,20.6527,22.6792
460,20.8335,22.4982
461,20.9196,22.5345
462,20.8481,22.3737
467,21.0834,22.0015
468,21.1637,22.007
469,21.0487,21.8466
470,21.084,22.1161
471,21.3395,22.1599
472,21.246,21.7722
475,21.4243,21.7492
476,21.2596,21.6441
478,21.2229,21.7667
479,21.3836,22.0842
480,21.7389,21.7527
484,21.3354,21.6603
485,21.4065,21.5557
486,21.5577,22.0567
487,21.7189,21.5591
488,21.6858,21.8482
489,21.7875,21.6097
490,21.94,21.7143
493,21.8289,21.4763
496,21.7731,21.6375
497,21.7953,21.612
